root_ancestor,domain,measure_1,measure_2,tree_1,tree_2
1404,"People, Work & Living Conditions","Total population, Candidate countries and potential candidates",Total expenditure on social benefits,1418,1404
1404,"People, Work & Living Conditions","Total population, Candidate countries and potential candidates",Total expenditure on administration costs,1418,1404
1404,"People, Work & Living Conditions","Total population, Candidate countries and potential candidates",Total unemployment rate,1418,1421
1404,"People, Work & Living Conditions",Total expenditure on social protection per head of population. ECU/EUR,Total unemployment rate,1404,1421
1404,"People, Work & Living Conditions",Total expenditure on social protection by type,Total unemployment rate,1404,1421
1404,"People, Work & Living Conditions",Total expenditure on social benefits,Total unemployment rate,1404,1421
1404,"People, Work & Living Conditions",Total expenditure on administration costs,Total unemployment rate,1404,1421
1461,Money & Markets,Unit value of exports,Unit labour cost performance related to the euro area - annual data,1461,1462
1461,Money & Markets,Unit value of imports,Unit labour cost performance related to the euro area - annual data,1461,1462
1493,Transports,Volume of containers handled in the top 20 EU main ports by loading status,Volume of freight transport relative to GDP,1494,1493
1493,Transports,Volume of containers handled in the top 20 EU main ports by loading status,Volume of passenger transport relative to GDP,1494,1493
151,Money & Markets,Business demography by size class and NACE Rev. 2 activity,Business written in non-EEA countries,151,152
189,Transports,Commercial aircraft fleet by age of aircraft and country of operator,Commercial airports by type,190,191
189,Transports,Commercial aircraft fleet by age of aircraft and country of registration,Commercial airports by type,190,191
189,Transports,Commercial airports by type,Commercial aircraft fleet by type of aircraft,191,190
194,Environment & Natural Resources and Production,Common farmland bird index,Common bird indices by type of estimate,194,195
194,Environment & Natural Resources and Production,Common farmland bird index,Common bird index by type of species - EU aggregate,194,195
197,Environment & Natural Resources and Production,Livestock,Landuse,207,205
197,Environment & Natural Resources and Production,Livestock,Erosion,207,202
197,Environment & Natural Resources and Production,Landuse,Erosion,205,202
197,"People, Work & Living Conditions",Employment,Wages,197,212
197,"People, Work & Living Conditions",Employment,Immigration,197,204
197,"People, Work & Living Conditions",Employment,Emigration,197,201
197,"People, Work & Living Conditions",Wages,Immigration,212,204
197,"People, Work & Living Conditions",Wages,Emigration,212,201
197,"People, Work & Living Conditions",Immigration,Emigration,204,201
227,Environment & Natural Resources and Production,Consumption of lightweight plastic carrier bags by their wall thickness,Consumption of chemicals by hazardousness - EU aggregate,233,231
227,Environment & Natural Resources and Production,Consumption of lightweight plastic carrier bags by their wall thickness,Consumption footprint – single weighted score,233,228
227,Environment & Natural Resources and Production,Consumption of chemicals by hazardousness - EU aggregate,Consumption footprint – single weighted score,231,228
235,Environment & Natural Resources and Production,Contribution of recycled materials to raw materials demand - end-of-life recycling input rates (EOL-RIR),Contribution to the international 100bn USD commitment on climate related expending,237,239
250,Transports,Country level - gross weight of goods handled in all ports,Country level - passengers embarked and disembarked in all ports,252,253
250,Transports,"Country level - volume (in TEUs) of containers handled in main ports, by loading status",Country level - passengers embarked and disembarked in all ports,252,253
250,Transports,Country level - gross weight of goods transported to/from main ports,Country level - passengers embarked and disembarked in all ports,252,253
250,Transports,Country level - passengers embarked and disembarked in all ports,Country level - gross weight of goods handled in main ports,253,252
264,"People, Work & Living Conditions","Crude rate of birth, of dead and of population change",Crude marriage rate,267,264
264,"People, Work & Living Conditions","Crude rate of birth, of dead and of population change",Crude divorce rate,267,265
264,"People, Work & Living Conditions",Crude marriage rate,Crude divorce rate,264,265
270,Money & Markets,"Current account transactions - credits, debits and balance",Current level of capacity utilization in manufacturing industry,271,273
270,Money & Markets,"Current account transactions - goods: credits, debits and balance",Current level of capacity utilization in manufacturing industry,271,273
270,Money & Markets,"Current account transactions - services: credits, debits and balance",Current level of capacity utilization in manufacturing industry,271,273
270,Money & Markets,"Current account transactions - primary income: credits, debits and balance",Current level of capacity utilization in manufacturing industry,271,273
270,Money & Markets,"Current account transactions - secondary income: credits, debits and balance",Current level of capacity utilization in manufacturing industry,271,273
270,Money & Markets,Current level of capacity utilization in manufacturing industry,Current account balance - 3 year average,273,271
270,Money & Markets,Current level of capacity utilization in manufacturing industry,Current account balance - annual data,273,271
275,Health & Safety,"Daily consumption of fruit and vegetables by sex, age and educational attainment level","Daily smokers of cigarettes by sex, age and educational attainment level",276,275
275,Health & Safety,"Daily consumption of fruit and vegetables by sex, age and educational attainment level","Daily smokers of cigarettes by sex, age and income quintile",276,275
281,Health & Safety,Deaths by age and sex,Deaths of residents related to dementias including Alzheimer,281,282
281,Health & Safety,Deaths of residents related to dementias including Alzheimer,Deaths and crude death rate,282,281
307,"People, Work & Living Conditions",Distribution of households by age of the reference person - experimental statistics,Distribution of digital platform workers (in the last 12 months) by number of hours worked in the last month - experimental statistics,307,309
307,"People, Work & Living Conditions",Distribution of households by age of the reference person - experimental statistics,Distribution of digital platform workers (at least one hour in the last month) by educational attainment level - experimental statistics,307,309
307,"People, Work & Living Conditions",Distribution of households by age of the reference person - experimental statistics,Distribution of digital platform workers (at least one hour in the last month) by labour status - experimental statistics,307,309
307,"People, Work & Living Conditions",Distribution of households by age of the reference person - experimental statistics,Distribution of digital platform workers (at least one hour in the last month) by share of platform income in their earnings - experimental statistics,307,309
307,"People, Work & Living Conditions",Distribution of households by age of the reference person - experimental statistics,Distribution of digital platform workers (at least one hour in the last month) by social insurance coverage and risk - experimental statistics,307,309
307,"People, Work & Living Conditions",Distribution of households by age of the reference person - experimental statistics,Distribution of digital platform workers (at least one hour in the last month) by type of work assignment - experimental statistics,307,309
307,"People, Work & Living Conditions",Distribution of households by age of the reference person - experimental statistics,Distribution of digital platform workers (at least one hour in the last month) by consequences of rejecting the task or service - experimental statistics,307,309
307,"People, Work & Living Conditions",Distribution of households by age of the reference person - experimental statistics,Distribution of digital platform workers (at least one hour in the last month) by working hours setting - experimental statistics,307,309
307,"People, Work & Living Conditions",Distribution of households by age of the reference person - experimental statistics,Distribution of digital platform workers (at least one hour in the last month) by price setting - experimental statistics,307,309
307,"People, Work & Living Conditions",Distribution of households by household type - experimental statistics,Distribution of digital platform workers (in the last 12 months) by number of hours worked in the last month - experimental statistics,307,309
307,"People, Work & Living Conditions",Distribution of households by household type - experimental statistics,Distribution of digital platform workers (at least one hour in the last month) by educational attainment level - experimental statistics,307,309
307,"People, Work & Living Conditions",Distribution of households by household type - experimental statistics,Distribution of digital platform workers (at least one hour in the last month) by labour status - experimental statistics,307,309
307,"People, Work & Living Conditions",Distribution of households by household type - experimental statistics,Distribution of digital platform workers (at least one hour in the last month) by share of platform income in their earnings - experimental statistics,307,309
307,"People, Work & Living Conditions",Distribution of households by household type - experimental statistics,Distribution of digital platform workers (at least one hour in the last month) by social insurance coverage and risk - experimental statistics,307,309
307,"People, Work & Living Conditions",Distribution of households by household type - experimental statistics,Distribution of digital platform workers (at least one hour in the last month) by type of work assignment - experimental statistics,307,309
307,"People, Work & Living Conditions",Distribution of households by household type - experimental statistics,Distribution of digital platform workers (at least one hour in the last month) by consequences of rejecting the task or service - experimental statistics,307,309
307,"People, Work & Living Conditions",Distribution of households by household type - experimental statistics,Distribution of digital platform workers (at least one hour in the last month) by working hours setting - experimental statistics,307,309
307,"People, Work & Living Conditions",Distribution of households by household type - experimental statistics,Distribution of digital platform workers (at least one hour in the last month) by price setting - experimental statistics,307,309
307,"People, Work & Living Conditions",Distribution of households by activity status of the reference person - experimental statistics,Distribution of digital platform workers (in the last 12 months) by number of hours worked in the last month - experimental statistics,307,309
307,"People, Work & Living Conditions",Distribution of households by activity status of the reference person - experimental statistics,Distribution of digital platform workers (at least one hour in the last month) by educational attainment level - experimental statistics,307,309
307,"People, Work & Living Conditions",Distribution of households by activity status of the reference person - experimental statistics,Distribution of digital platform workers (at least one hour in the last month) by labour status - experimental statistics,307,309
307,"People, Work & Living Conditions",Distribution of households by activity status of the reference person - experimental statistics,Distribution of digital platform workers (at least one hour in the last month) by share of platform income in their earnings - experimental statistics,307,309
307,"People, Work & Living Conditions",Distribution of households by activity status of the reference person - experimental statistics,Distribution of digital platform workers (at least one hour in the last month) by social insurance coverage and risk - experimental statistics,307,309
307,"People, Work & Living Conditions",Distribution of households by activity status of the reference person - experimental statistics,Distribution of digital platform workers (at least one hour in the last month) by type of work assignment - experimental statistics,307,309
307,"People, Work & Living Conditions",Distribution of households by activity status of the reference person - experimental statistics,Distribution of digital platform workers (at least one hour in the last month) by consequences of rejecting the task or service - experimental statistics,307,309
307,"People, Work & Living Conditions",Distribution of households by activity status of the reference person - experimental statistics,Distribution of digital platform workers (at least one hour in the last month) by working hours setting - experimental statistics,307,309
307,"People, Work & Living Conditions",Distribution of households by activity status of the reference person - experimental statistics,Distribution of digital platform workers (at least one hour in the last month) by price setting - experimental statistics,307,309
307,"People, Work & Living Conditions",Distribution of households by household type until - ECHP survey,Distribution of digital platform workers (in the last 12 months) by number of hours worked in the last month - experimental statistics,307,309
307,"People, Work & Living Conditions",Distribution of households by household type until - ECHP survey,Distribution of digital platform workers (at least one hour in the last month) by educational attainment level - experimental statistics,307,309
307,"People, Work & Living Conditions",Distribution of households by household type until - ECHP survey,Distribution of digital platform workers (at least one hour in the last month) by labour status - experimental statistics,307,309
307,"People, Work & Living Conditions",Distribution of households by household type until - ECHP survey,Distribution of digital platform workers (at least one hour in the last month) by share of platform income in their earnings - experimental statistics,307,309
307,"People, Work & Living Conditions",Distribution of households by household type until - ECHP survey,Distribution of digital platform workers (at least one hour in the last month) by social insurance coverage and risk - experimental statistics,307,309
307,"People, Work & Living Conditions",Distribution of households by household type until - ECHP survey,Distribution of digital platform workers (at least one hour in the last month) by type of work assignment - experimental statistics,307,309
307,"People, Work & Living Conditions",Distribution of households by household type until - ECHP survey,Distribution of digital platform workers (at least one hour in the last month) by consequences of rejecting the task or service - experimental statistics,307,309
307,"People, Work & Living Conditions",Distribution of households by household type until - ECHP survey,Distribution of digital platform workers (at least one hour in the last month) by working hours setting - experimental statistics,307,309
307,"People, Work & Living Conditions",Distribution of households by household type until - ECHP survey,Distribution of digital platform workers (at least one hour in the last month) by price setting - experimental statistics,307,309
307,"People, Work & Living Conditions",Distribution of households by household size - EU-SILC survey,Distribution of digital platform workers (in the last 12 months) by number of hours worked in the last month - experimental statistics,307,309
307,"People, Work & Living Conditions",Distribution of households by household size - EU-SILC survey,Distribution of digital platform workers (at least one hour in the last month) by educational attainment level - experimental statistics,307,309
307,"People, Work & Living Conditions",Distribution of households by household size - EU-SILC survey,Distribution of digital platform workers (at least one hour in the last month) by labour status - experimental statistics,307,309
307,"People, Work & Living Conditions",Distribution of households by household size - EU-SILC survey,Distribution of digital platform workers (at least one hour in the last month) by share of platform income in their earnings - experimental statistics,307,309
307,"People, Work & Living Conditions",Distribution of households by household size - EU-SILC survey,Distribution of digital platform workers (at least one hour in the last month) by social insurance coverage and risk - experimental statistics,307,309
307,"People, Work & Living Conditions",Distribution of households by household size - EU-SILC survey,Distribution of digital platform workers (at least one hour in the last month) by type of work assignment - experimental statistics,307,309
307,"People, Work & Living Conditions",Distribution of households by household size - EU-SILC survey,Distribution of digital platform workers (at least one hour in the last month) by consequences of rejecting the task or service - experimental statistics,307,309
307,"People, Work & Living Conditions",Distribution of households by household size - EU-SILC survey,Distribution of digital platform workers (at least one hour in the last month) by working hours setting - experimental statistics,307,309
307,"People, Work & Living Conditions",Distribution of households by household size - EU-SILC survey,Distribution of digital platform workers (at least one hour in the last month) by price setting - experimental statistics,307,309
307,"People, Work & Living Conditions",Distribution of households with children by number of children - EU-SILC survey,Distribution of digital platform workers (in the last 12 months) by number of hours worked in the last month - experimental statistics,307,309
307,"People, Work & Living Conditions",Distribution of households with children by number of children - EU-SILC survey,Distribution of digital platform workers (at least one hour in the last month) by educational attainment level - experimental statistics,307,309
307,"People, Work & Living Conditions",Distribution of households with children by number of children - EU-SILC survey,Distribution of digital platform workers (at least one hour in the last month) by labour status - experimental statistics,307,309
307,"People, Work & Living Conditions",Distribution of households with children by number of children - EU-SILC survey,Distribution of digital platform workers (at least one hour in the last month) by share of platform income in their earnings - experimental statistics,307,309
307,"People, Work & Living Conditions",Distribution of households with children by number of children - EU-SILC survey,Distribution of digital platform workers (at least one hour in the last month) by social insurance coverage and risk - experimental statistics,307,309
307,"People, Work & Living Conditions",Distribution of households with children by number of children - EU-SILC survey,Distribution of digital platform workers (at least one hour in the last month) by type of work assignment - experimental statistics,307,309
307,"People, Work & Living Conditions",Distribution of households with children by number of children - EU-SILC survey,Distribution of digital platform workers (at least one hour in the last month) by consequences of rejecting the task or service - experimental statistics,307,309
307,"People, Work & Living Conditions",Distribution of households with children by number of children - EU-SILC survey,Distribution of digital platform workers (at least one hour in the last month) by working hours setting - experimental statistics,307,309
307,"People, Work & Living Conditions",Distribution of households with children by number of children - EU-SILC survey,Distribution of digital platform workers (at least one hour in the last month) by price setting - experimental statistics,307,309
307,"People, Work & Living Conditions",Distribution of digital platform workers (in the last 12 months) by number of hours worked in the last month - experimental statistics,Distribution of population by household types - EU-SILC survey,309,307
307,"People, Work & Living Conditions",Distribution of digital platform workers (at least one hour in the last month) by educational attainment level - experimental statistics,Distribution of population by household types - EU-SILC survey,309,307
307,"People, Work & Living Conditions",Distribution of digital platform workers (at least one hour in the last month) by labour status - experimental statistics,Distribution of population by household types - EU-SILC survey,309,307
307,"People, Work & Living Conditions",Distribution of digital platform workers (at least one hour in the last month) by share of platform income in their earnings - experimental statistics,Distribution of population by household types - EU-SILC survey,309,307
307,"People, Work & Living Conditions",Distribution of digital platform workers (at least one hour in the last month) by social insurance coverage and risk - experimental statistics,Distribution of population by household types - EU-SILC survey,309,307
307,"People, Work & Living Conditions",Distribution of digital platform workers (at least one hour in the last month) by type of work assignment - experimental statistics,Distribution of population by household types - EU-SILC survey,309,307
307,"People, Work & Living Conditions",Distribution of digital platform workers (at least one hour in the last month) by consequences of rejecting the task or service - experimental statistics,Distribution of population by household types - EU-SILC survey,309,307
307,"People, Work & Living Conditions",Distribution of digital platform workers (at least one hour in the last month) by working hours setting - experimental statistics,Distribution of population by household types - EU-SILC survey,309,307
307,"People, Work & Living Conditions",Distribution of digital platform workers (at least one hour in the last month) by price setting - experimental statistics,Distribution of population by household types - EU-SILC survey,309,307
337,Environment & Natural Resources and Production,EU self-sufficiency for raw materials,EU CO2 emissions from the production and consumption (footprint) perspectives (FIGARO application),345,339
351,Money & Markets,Economic activity,Economic sentiment indicator,351,354
36,Transports,Accidents in inland waterway transport,Accidents involving the transport of dangerous goods - annual data,38,39
372,"People, Work & Living Conditions","Employed persons working in the evenings as a percentage of the total employment, by sex, age and professional status (%)",Employed persons expecting a possible loss of their job in the next 6 months by sex and age,372,373
372,"People, Work & Living Conditions","Employed persons working in the evenings as a percentage of the total employment, by sex, age and professional status (%)","Employed persons exposed to employment-related physical, psychological or sexual violence in the last 12 months by sex and age",372,374
372,"People, Work & Living Conditions","Employed persons working at nights as a percentage of the total employment, by sex, age and professional status (%)",Employed persons expecting a possible loss of their job in the next 6 months by sex and age,372,373
372,"People, Work & Living Conditions","Employed persons working at nights as a percentage of the total employment, by sex, age and professional status (%)","Employed persons exposed to employment-related physical, psychological or sexual violence in the last 12 months by sex and age",372,374
372,"People, Work & Living Conditions","Employed persons working on Saturdays as a percentage of the total employment, by sex, age and professional status (%)",Employed persons expecting a possible loss of their job in the next 6 months by sex and age,372,373
372,"People, Work & Living Conditions","Employed persons working on Saturdays as a percentage of the total employment, by sex, age and professional status (%)","Employed persons exposed to employment-related physical, psychological or sexual violence in the last 12 months by sex and age",372,374
372,"People, Work & Living Conditions","Employed persons working on Sundays as a percentage of the total employment, by sex, age and professional status (%)",Employed persons expecting a possible loss of their job in the next 6 months by sex and age,372,373
372,"People, Work & Living Conditions","Employed persons working on Sundays as a percentage of the total employment, by sex, age and professional status (%)","Employed persons exposed to employment-related physical, psychological or sexual violence in the last 12 months by sex and age",372,374
372,"People, Work & Living Conditions",Employed persons discriminated at work during the last 12 months by sex and age,Employed persons expecting a possible loss of their job in the next 6 months by sex and age,372,373
372,"People, Work & Living Conditions",Employed persons discriminated at work during the last 12 months by sex and age,"Employed persons exposed to employment-related physical, psychological or sexual violence in the last 12 months by sex and age",372,374
372,"People, Work & Living Conditions",Employed persons expecting a possible loss of their job in the next 6 months by sex and age,Employed persons participating in job-related non-formal education and training in the past 12 months by sex and age,373,372
372,"People, Work & Living Conditions",Employed persons expecting a possible loss of their job in the next 6 months by sex and age,Employed persons perceiving that their job-related non-formal education and training helped to improve the way they work by sex and age,373,372
372,"People, Work & Living Conditions",Employed persons expecting a possible loss of their job in the next 6 months by sex and age,Employed persons whose job involves improving their skills by sex and age,373,372
372,"People, Work & Living Conditions",Employed persons expecting a possible loss of their job in the next 6 months by sex and age,Employed persons whose work experience and job skills would be helpful to find another job by sex and age,373,372
372,"People, Work & Living Conditions",Employed persons expecting a possible loss of their job in the next 6 months by sex and age,Employed persons having the opportunity to use their knowledge and skills in their current job by sex and age,373,372
372,"People, Work & Living Conditions",Employed persons expecting a possible loss of their job in the next 6 months by sex and age,Employed persons having a good relationship with their colleagues by sex and age,373,372
372,"People, Work & Living Conditions",Employed persons expecting a possible loss of their job in the next 6 months by sex and age,"Employed persons exposed to employment-related physical, psychological or sexual violence in the last 12 months by sex and age",373,374
372,"People, Work & Living Conditions",Employed persons expecting a possible loss of their job in the next 6 months by sex and age,Employed persons being able to choose their methods of work or to influence their pace of work by sex and age,373,372
372,"People, Work & Living Conditions",Employed persons expecting a possible loss of their job in the next 6 months by sex and age,Employed persons thinking that they do useful work by sex and age,373,372
372,"People, Work & Living Conditions",Employed persons expecting a possible loss of their job in the next 6 months by sex and age,Employed persons having to work at very high speed or to tight deadlines by sex and age,373,372
372,"People, Work & Living Conditions",Employed persons expecting a possible loss of their job in the next 6 months by sex and age,Employed persons being able to influence decisions that affect their work by sex and age,373,372
372,"People, Work & Living Conditions",Employed persons expecting a possible loss of their job in the next 6 months by sex and age,Employed persons having more than one job by sex,373,372
372,"People, Work & Living Conditions",Employed persons expecting a possible loss of their job in the next 6 months by sex and age,Employed persons being self-employed without employees by sex,373,372
372,"People, Work & Living Conditions",Employed persons participating in job-related non-formal education and training in the past 12 months by sex and age,"Employed persons exposed to employment-related physical, psychological or sexual violence in the last 12 months by sex and age",372,374
372,"People, Work & Living Conditions",Employed persons perceiving that their job-related non-formal education and training helped to improve the way they work by sex and age,"Employed persons exposed to employment-related physical, psychological or sexual violence in the last 12 months by sex and age",372,374
372,"People, Work & Living Conditions",Employed persons whose job involves improving their skills by sex and age,"Employed persons exposed to employment-related physical, psychological or sexual violence in the last 12 months by sex and age",372,374
372,"People, Work & Living Conditions",Employed persons whose work experience and job skills would be helpful to find another job by sex and age,"Employed persons exposed to employment-related physical, psychological or sexual violence in the last 12 months by sex and age",372,374
372,"People, Work & Living Conditions",Employed persons having the opportunity to use their knowledge and skills in their current job by sex and age,"Employed persons exposed to employment-related physical, psychological or sexual violence in the last 12 months by sex and age",372,374
372,"People, Work & Living Conditions",Employed persons having a good relationship with their colleagues by sex and age,"Employed persons exposed to employment-related physical, psychological or sexual violence in the last 12 months by sex and age",372,374
372,"People, Work & Living Conditions","Employed persons exposed to employment-related physical, psychological or sexual violence in the last 12 months by sex and age",Employed persons being able to choose their methods of work or to influence their pace of work by sex and age,374,372
372,"People, Work & Living Conditions","Employed persons exposed to employment-related physical, psychological or sexual violence in the last 12 months by sex and age",Employed persons thinking that they do useful work by sex and age,374,372
372,"People, Work & Living Conditions","Employed persons exposed to employment-related physical, psychological or sexual violence in the last 12 months by sex and age",Employed persons having to work at very high speed or to tight deadlines by sex and age,374,372
372,"People, Work & Living Conditions","Employed persons exposed to employment-related physical, psychological or sexual violence in the last 12 months by sex and age",Employed persons being able to influence decisions that affect their work by sex and age,374,372
372,"People, Work & Living Conditions","Employed persons exposed to employment-related physical, psychological or sexual violence in the last 12 months by sex and age",Employed persons having more than one job by sex,374,372
372,"People, Work & Living Conditions","Employed persons exposed to employment-related physical, psychological or sexual violence in the last 12 months by sex and age",Employed persons being self-employed without employees by sex,374,372
375,"People, Work & Living Conditions",Employees by flexibility of their working schedule and educational attainment level (1 000),Employees having a good relationship with their supervisor by sex and age,375,379
375,"People, Work & Living Conditions",Employees by flexibility of their working schedule and educational attainment level (1 000),Employees receiving regular feedback from their supervisor by sex and age,375,380
375,"People, Work & Living Conditions",Employees having a good relationship with their supervisor by sex and age,Employees receiving regular feedback from their supervisor by sex and age,379,380
375,"People, Work & Living Conditions",Employees having a good relationship with their supervisor by sex and age,"Employees, domestic concept - annual data",379,375
375,"People, Work & Living Conditions",Employees having a good relationship with their supervisor by sex and age,Employees with a contract of limited duration (annual average),379,375
375,"People, Work & Living Conditions",Employees having a good relationship with their supervisor by sex and age,Employees with a flexible work schedule by sex,379,375
375,"People, Work & Living Conditions",Employees receiving regular feedback from their supervisor by sex and age,"Employees, domestic concept - annual data",380,375
375,"People, Work & Living Conditions",Employees receiving regular feedback from their supervisor by sex and age,Employees with a contract of limited duration (annual average),380,375
375,"People, Work & Living Conditions",Employees receiving regular feedback from their supervisor by sex and age,Employees with a flexible work schedule by sex,380,375
386,Money & Markets,Employment in Foreign Controlled Enterprises,Employment growth (domestic concept),390,386
386,Money & Markets,Employment in Foreign Controlled Enterprises,"Employment, domestic concept - Total",390,386
386,Money & Markets,Employment in Foreign Controlled Enterprises,Employment expectations indicator,390,389
386,Money & Markets,Employment in Foreign Controlled Enterprises,Employment expectations by sectors,390,389
386,Money & Markets,Employment in Foreign Affiliates of Domestic Enterprises,Employment growth (domestic concept),390,386
386,Money & Markets,Employment in Foreign Affiliates of Domestic Enterprises,"Employment, domestic concept - Total",390,386
386,Money & Markets,Employment in Foreign Affiliates of Domestic Enterprises,Employment expectations indicator,390,389
386,Money & Markets,Employment in Foreign Affiliates of Domestic Enterprises,Employment expectations by sectors,390,389
386,"People, Work & Living Conditions",Employment and employment rates 20-64 years old by sex,Employment and economic activity branches,386,387
386,"People, Work & Living Conditions",Employment and employment rates 20-64 years old by sex,Employment in sport by age,386,394
386,"People, Work & Living Conditions",Employment and employment rates 20-64 years old by sex,Employment in sport by sex,386,394
386,Money & Markets,Employment growth (domestic concept),Employment expectations indicator,386,389
386,Money & Markets,Employment growth (domestic concept),Employment expectations by sectors,386,389
386,"People, Work & Living Conditions",Employment by professional status,Employment and economic activity branches,386,387
386,"People, Work & Living Conditions",Employment by professional status,Employment in sport by age,386,394
386,"People, Work & Living Conditions",Employment by professional status,Employment in sport by sex,386,394
386,"People, Work & Living Conditions",Employment rates 15-64 years old by sex,Employment and economic activity branches,386,387
386,"People, Work & Living Conditions",Employment rates 15-64 years old by sex,Employment in sport by age,386,394
386,"People, Work & Living Conditions",Employment rates 15-64 years old by sex,Employment in sport by sex,386,394
386,"People, Work & Living Conditions","Employment rates by sex, age and educational attainment level (%)",Employment and economic activity branches,386,387
386,"People, Work & Living Conditions","Employment rates by sex, age and educational attainment level (%)",Employment in sport by age,386,394
386,"People, Work & Living Conditions","Employment rates by sex, age and educational attainment level (%)",Employment in sport by sex,386,394
386,"People, Work & Living Conditions","Employment rate of adults by sex, age groups, educational attainment level, number of children and age of youngest child (%)",Employment and economic activity branches,386,387
386,"People, Work & Living Conditions","Employment rate of adults by sex, age groups, educational attainment level, number of children and age of youngest child (%)",Employment in sport by age,386,394
386,"People, Work & Living Conditions","Employment rate of adults by sex, age groups, educational attainment level, number of children and age of youngest child (%)",Employment in sport by sex,386,394
386,"People, Work & Living Conditions",Employment characteristics,Employment and economic activity branches,386,387
386,"People, Work & Living Conditions",Employment characteristics,Employment in sport by age,386,394
386,"People, Work & Living Conditions",Employment characteristics,Employment in sport by sex,386,394
386,"People, Work & Living Conditions",Employment and economic activity branches,Employment (thousand persons) by NUTS 3 regions,387,386
386,"People, Work & Living Conditions",Employment and economic activity branches,Employment rate by sex,387,386
386,"People, Work & Living Conditions",Employment and economic activity branches,"Employment rate, by citizenship",387,386
386,"People, Work & Living Conditions",Employment and economic activity branches,Employment in sport by age,387,394
386,"People, Work & Living Conditions",Employment and economic activity branches,Employment in sport by sex,387,394
386,"People, Work & Living Conditions",Employment and economic activity branches,"Employment rate of older workers, age group 55-64",387,386
386,"People, Work & Living Conditions",Employment and economic activity branches,"Employment rate of low skilled persons, age group 20-64",387,386
386,"People, Work & Living Conditions",Employment and economic activity branches,"Employment rate of non-EU nationals, age group 20-64",387,386
386,"People, Work & Living Conditions",Employment and economic activity branches,Employment rate,387,386
386,"People, Work & Living Conditions",Employment and economic activity branches,"Employment, domestic concept - annual data",387,386
386,"People, Work & Living Conditions",Employment and economic activity branches,"Employment rates by sex, age and other typologies",387,386
386,"People, Work & Living Conditions",Employment (thousand persons) by NUTS 3 regions,Employment in sport by age,386,394
386,"People, Work & Living Conditions",Employment (thousand persons) by NUTS 3 regions,Employment in sport by sex,386,394
386,"People, Work & Living Conditions",Employment rate by sex,Employment in sport by age,386,394
386,"People, Work & Living Conditions",Employment rate by sex,Employment in sport by sex,386,394
386,"People, Work & Living Conditions","Employment rate, by citizenship",Employment in sport by age,386,394
386,"People, Work & Living Conditions","Employment rate, by citizenship",Employment in sport by sex,386,394
386,"People, Work & Living Conditions",Employment in sport by age,"Employment rate of older workers, age group 55-64",394,386
386,"People, Work & Living Conditions",Employment in sport by age,"Employment rate of low skilled persons, age group 20-64",394,386
386,"People, Work & Living Conditions",Employment in sport by age,"Employment rate of non-EU nationals, age group 20-64",394,386
386,"People, Work & Living Conditions",Employment in sport by age,Employment rate,394,386
386,"People, Work & Living Conditions",Employment in sport by age,"Employment, domestic concept - annual data",394,386
386,"People, Work & Living Conditions",Employment in sport by age,"Employment rates by sex, age and other typologies",394,386
386,"People, Work & Living Conditions",Employment in sport by sex,"Employment rate of older workers, age group 55-64",394,386
386,"People, Work & Living Conditions",Employment in sport by sex,"Employment rate of low skilled persons, age group 20-64",394,386
386,"People, Work & Living Conditions",Employment in sport by sex,"Employment rate of non-EU nationals, age group 20-64",394,386
386,"People, Work & Living Conditions",Employment in sport by sex,Employment rate,394,386
386,"People, Work & Living Conditions",Employment in sport by sex,"Employment, domestic concept - annual data",394,386
386,"People, Work & Living Conditions",Employment in sport by sex,"Employment rates by sex, age and other typologies",394,386
386,Money & Markets,"Employment, domestic concept - Total",Employment expectations indicator,386,389
386,Money & Markets,"Employment, domestic concept - Total",Employment expectations by sectors,386,389
400,Environment & Natural Resources and Production,Energy balance,"Energy removed from district networks by customers, type of networks and efficiency of network",400,402
400,Environment & Natural Resources and Production,Energy consumption,"Energy removed from district networks by customers, type of networks and efficiency of network",400,402
400,Environment & Natural Resources and Production,Energy - historical data former methodology and source),"Energy removed from district networks by customers, type of networks and efficiency of network",400,402
400,Environment & Natural Resources and Production,"Energy removed from district networks by customers, type of networks and efficiency of network",Energy productivity,402,400
400,Environment & Natural Resources and Production,"Energy removed from district networks by customers, type of networks and efficiency of network",Energy self-reliance,402,400
400,Environment & Natural Resources and Production,"Energy removed from district networks by customers, type of networks and efficiency of network",Energy import dependency by products,402,400
400,Environment & Natural Resources and Production,"Energy removed from district networks by customers, type of networks and efficiency of network",Energy taxes,402,400
405,Money & Markets,Enterprises sourcing abroad,Enterprises with members in other EEA countries,405,417
405,Money & Markets,Enterprises by movement of business functions from abroad and by NACE Rev.2 activity - experimental statistics,Enterprises with members in other EEA countries,405,417
405,Money & Markets,Enterprises by type of movement of business functions from abroad and by NACE Rev.2 activity - experimental statistics,Enterprises with members in other EEA countries,405,417
405,Money & Markets,"Enterprises by status of movement of business functions from abroad, business function and NACE Rev.2 activity - experimental statistics",Enterprises with members in other EEA countries,405,417
405,Money & Markets,Enterprises by impact of COVID-19 on turnover and NACE rev.2 activity aggregate - experimental statistics,Enterprises with members in other EEA countries,405,417
405,Money & Markets,Enterprises by type of buyer power asymmetry in the global value chain and NACE rev.2 activity aggregate - experimental statistics,Enterprises with members in other EEA countries,405,417
