measure,domain_true,domain_predicted,correct,cluster,cluster_majority_domain,cluster_purity,cluster_n_gt_measures,cluster_n_domains,error_source
Share of organic crop area out of the total utilised agricultural area (UAA) (until,Environment & Natural Resources and Production,Environment & Natural Resources and Production,True,1757,Environment & Natural Resources and Production,1.0,1,1,correct
Persons employed in oil pipeline enterprises by sex,Transports,Transports,True,1374,Transports,0.75,8,3,correct
Oil pipeline enterprises,Environment & Natural Resources and Production,Environment & Natural Resources and Production,True,1250,Environment & Natural Resources and Production,1.0,1,1,correct
Investment and maintenance in oil pipeline infrastructure,Environment & Natural Resources and Production,Transports,False,961,Environment & Natural Resources and Production,1.0,1,1,"downstream (LLM domain choice, step 8)"
Carrying capacity of pipelines operated,Transports,Transports,True,195,Transports,1.0,3,1,correct
Length of pipelines operated,Transports,Transports,True,1010,Transports,1.0,1,1,correct
Correction coefficients outside the European Union (Duty stations) - index (Brussels = 100),Money & Markets,"People, Work & Living Conditions",False,290,Money & Markets,1.0,3,1,"downstream (LLM domain choice, step 8)"
Correction coefficients in the European Union (Countries) - index (Belgium = 100),Money & Markets,"People, Work & Living Conditions",False,290,Money & Markets,1.0,3,1,"downstream (LLM domain choice, step 8)"
Purchasing Power Parities in the European Union (Countries) - index (Belgium = 1),Money & Markets,Money & Markets,True,1570,Money & Markets,1.0,2,1,correct
Purchasing Power Parities in the European Union (Duty stations) - index (Brussels = 1),Money & Markets,Money & Markets,True,1570,Money & Markets,1.0,2,1,correct
Typical dwelling sizes by type of dwelling in each surveyed city,Money & Markets,"People, Work & Living Conditions",False,1943,Money & Markets,1.0,1,1,"downstream (LLM domain choice, step 8)"
Correction coefficients in the European Union (Duty stations) - index (Brussels = 100),Money & Markets,"People, Work & Living Conditions",False,290,Money & Markets,1.0,3,1,"downstream (LLM domain choice, step 8)"
HICP - country weights,Money & Markets,Money & Markets,True,774,Money & Markets,1.0,1,1,correct
House sales - number and index annual data,Money & Markets,Money & Markets,True,829,Money & Markets,1.0,8,1,correct
House sales - value and index annual data,Money & Markets,Money & Markets,True,829,Money & Markets,1.0,8,1,correct
House price index - Item weights,Money & Markets,Money & Markets,True,829,Money & Markets,1.0,8,1,correct
Convergence indicators,Money & Markets,Money & Markets,True,286,Money & Markets,1.0,1,1,correct
Average remuneration of national civil servants in central public administration,Money & Markets,"People, Work & Living Conditions",False,146,Money & Markets,1.0,1,1,"downstream (LLM domain choice, step 8)"
Remuneration indexes of national civil servants in central public administration,Money & Markets,"People, Work & Living Conditions",False,1628,Money & Markets,1.0,1,1,"downstream (LLM domain choice, step 8)"
GDP weights used in the calculation of the global specific indicator,Money & Markets,Money & Markets,True,694,Money & Markets,1.0,1,1,correct
Joint Index,Money & Markets,Money & Markets,True,978,Money & Markets,1.0,1,1,correct
National civil servants in central public administration,Money & Markets,"People, Work & Living Conditions",False,1172,Money & Markets,1.0,1,1,"downstream (LLM domain choice, step 8)"
Employed persons discriminated at work during the last 12 months by sex and age,"People, Work & Living Conditions","People, Work & Living Conditions",True,446,"People, Work & Living Conditions",0.9444444444444444,18,2,correct
Mean duration of commuting time one-way between work and home by sex and age,"People, Work & Living Conditions",Transports,False,1111,"People, Work & Living Conditions",1.0,1,1,"downstream (LLM domain choice, step 8)"
Employed persons expecting a possible loss of their job in the next 6 months by sex and age,"People, Work & Living Conditions","People, Work & Living Conditions",True,454,"People, Work & Living Conditions",1.0,1,1,correct
Employed persons participating in job-related non-formal education and training in the past 12 months by sex and age,"People, Work & Living Conditions","People, Work & Living Conditions",True,446,"People, Work & Living Conditions",0.9444444444444444,18,2,correct
Employed persons perceiving that their job-related non-formal education and training helped to improve the way they work by sex and age,"People, Work & Living Conditions","People, Work & Living Conditions",True,446,"People, Work & Living Conditions",0.9444444444444444,18,2,correct
Employed persons whose job involves improving their skills by sex and age,"People, Work & Living Conditions","People, Work & Living Conditions",True,446,"People, Work & Living Conditions",0.9444444444444444,18,2,correct
Employed persons whose work experience and job skills would be helpful to find another job by sex and age,"People, Work & Living Conditions","People, Work & Living Conditions",True,446,"People, Work & Living Conditions",0.9444444444444444,18,2,correct
Employed persons having the opportunity to use their knowledge and skills in their current job by sex and age,"People, Work & Living Conditions","People, Work & Living Conditions",True,446,"People, Work & Living Conditions",0.9444444444444444,18,2,correct
Employed persons having a good relationship with their colleagues by sex and age,"People, Work & Living Conditions","People, Work & Living Conditions",True,446,"People, Work & Living Conditions",0.9444444444444444,18,2,correct
Employees having a good relationship with their supervisor by sex and age,"People, Work & Living Conditions","People, Work & Living Conditions",True,463,"People, Work & Living Conditions",1.0,1,1,correct
"Employed persons exposed to employment-related physical, psychological or sexual violence in the last 12 months by sex and age","People, Work & Living Conditions",Health & Safety,False,455,"People, Work & Living Conditions",1.0,1,1,"downstream (LLM domain choice, step 8)"
Employed persons being able to choose their methods of work or to influence their pace of work by sex and age,"People, Work & Living Conditions","People, Work & Living Conditions",True,446,"People, Work & Living Conditions",0.9444444444444444,18,2,correct
Employees receiving regular feedback from their supervisor by sex and age,"People, Work & Living Conditions","People, Work & Living Conditions",True,465,"People, Work & Living Conditions",1.0,1,1,correct
Employed persons thinking that they do useful work by sex and age,"People, Work & Living Conditions","People, Work & Living Conditions",True,446,"People, Work & Living Conditions",0.9444444444444444,18,2,correct
Employed persons having to work at very high speed or to tight deadlines by sex and age,"People, Work & Living Conditions","People, Work & Living Conditions",True,446,"People, Work & Living Conditions",0.9444444444444444,18,2,correct
Employed persons being able to influence decisions that affect their work by sex and age,"People, Work & Living Conditions","People, Work & Living Conditions",True,446,"People, Work & Living Conditions",0.9444444444444444,18,2,correct
Railway accidents by type of accident - annual data,Transports,Health & Safety,False,1581,Transports,1.0,1,1,"downstream (LLM domain choice, step 8)"
Accidents involving the transport of dangerous goods - annual data,Transports,Health & Safety,False,45,Transports,1.0,1,1,"downstream (LLM domain choice, step 8)"
Persons employed in principal railway enterprises by sex (until,Transports,Transports,True,1374,Transports,0.75,8,3,correct
Railway enterprises by type of enterprise,Transports,Money & Markets,False,1582,Transports,1.0,1,1,"downstream (LLM domain choice, step 8)"
Expenditure on rolling stock and railway infrastructure,Transports,Transports,True,580,Transports,1.0,1,1,correct
Seat/berth capacity of passenger railway vehicles,Transports,Transports,True,1685,Transports,1.0,3,1,correct
Seat capacity of passenger railway vehicles by type of vehicles,Transports,Transports,True,1685,Transports,1.0,3,1,correct
Passenger railway vehicles by category of vehicle (until,Transports,Transports,True,1308,Transports,1.0,8,1,correct
"Passenger railway vehicles, by type of vehicle",Transports,Transports,True,1308,Transports,1.0,8,1,correct
Trainsets and capacity by type of speed,Transports,Transports,True,1912,Transports,1.0,1,1,correct
Railway transport vans,Transports,Transports,True,1585,Transports,1.0,1,1,correct
Goods transported by type of consignment,Transports,Transports,True,721,Transports,1.0,5,1,correct
Goods transported (detailed reporting only ) - Quarterly data,Transports,Transports,True,725,Transports,1.0,1,1,correct
Length of railway lines by maximum permitted speed,Transports,Transports,True,1006,Transports,1.0,7,1,correct
Level crossings by type,Transports,Transports,True,1013,Transports,1.0,1,1,correct
Length of railway tracks by electrification of tracks,Transports,Transports,True,1006,Transports,1.0,7,1,correct
Length of railway lines equipped with the railway traffic management system by type of signalling,Transports,Transports,True,1006,Transports,1.0,7,1,correct
"Passenger cars in accompanied passenger car railway transport, by type of transport",Transports,Transports,True,1308,Transports,1.0,8,1,correct
"Passengers in accompanied passenger car railway transport, by type of transport",Transports,Transports,True,1316,Transports,1.0,1,1,correct
Passengers transported by type of train speed,Transports,Transports,True,1318,Transports,1.0,1,1,correct
Passengers transported,Transports,Transports,True,1315,Transports,1.0,5,1,correct
Hauled passenger railway vehicle traffic performance by type of railway vehicle speed - seat km (until,Transports,Transports,True,791,Transports,1.0,2,1,correct
Hauled vehicle traffic performance - tkm (until,Transports,Transports,True,791,Transports,1.0,2,1,correct
Train traffic on the rail network -,Transports,Transports,True,1910,Transports,1.0,4,1,correct
Train traffic on the rail network - the Former Yugoslav Republic of Macedonia,Transports,Transports,True,1910,Transports,1.0,4,1,correct
Train traffic on the rail network - Czech Republic,Transports,Transports,True,1910,Transports,1.0,4,1,correct
Train traffic on the rail network - Hungaria,Transports,Transports,True,1910,Transports,1.0,4,1,correct
Passenger train traffic performance by type of train speed,Transports,Transports,True,1311,Transports,1.0,1,1,correct
Goods and passenger train traffic performance,Transports,Transports,True,722,Transports,1.0,1,1,correct
BERD by concentration of personnel (ranking),Tech & Innovation,Tech & Innovation,True,154,Tech & Innovation,1.0,1,1,correct
R&D personnel and researchers in the business enterprise sector by concentration of personnel (ranking),Tech & Innovation,Tech & Innovation,True,1576,Tech & Innovation,1.0,1,1,correct
Researchers in the higher education sector by seniority category,Tech & Innovation,Learning & Education,False,1635,Tech & Innovation,1.0,1,1,"downstream (LLM domain choice, step 8)"
Persons employed in goods road transport enterprises by employment size classes,Transports,Transports,True,1374,Transports,0.75,8,3,correct
Persons employed in goods road transport enterprises by sex,Transports,Transports,True,1374,Transports,0.75,8,3,correct
Goods road transport enterprises by employment size classes,Transports,Transports,True,724,Transports,1.0,2,1,correct
Goods road transport enterprises by number of vehicles,Transports,Transports,True,724,Transports,1.0,2,1,correct
Expenditure on road transport vehicles and road infrastructure,Transports,Living Well,False,573,Learning & Education,0.6666666666666666,3,2,"upstream (clustering, step 7)"
"New motor coaches, buses and trolley buses by type of motor energy (until",Transports,Transports,True,1197,Transports,1.0,5,1,correct
"Seat capacity of new motor coaches, buses and trolley buses",Transports,Transports,True,1685,Transports,1.0,3,1,correct
"New motor coaches, buses and trolley buses , by type of vehicles",Transports,Transports,True,1197,Transports,1.0,5,1,correct
"New passenger cars, motor coaches, buses and trolley buses by alternative motor energy (until",Transports,Transports,True,1197,Transports,1.0,5,1,correct
New lorries by alternative motor energy and load capacity of +/- 1500 kg (until,Transports,Transports,True,1197,Transports,1.0,5,1,correct
"Load capacity of new lorries, semi-trailers and trailers, by type of carriage (until",Transports,Transports,True,1035,Transports,1.0,2,1,correct
New mopeds and motorcycles by type of motor energy,Transports,Transports,True,1201,Transports,1.0,1,1,correct
New motorcycles by engine size,Transports,Transports,True,1202,Transports,1.0,1,1,correct
"New semi-trailers and their load capacity, by permissible maximum gross weight",Transports,Transports,True,1203,Transports,1.0,1,1,correct
New special purpose road vehicles,Transports,Transports,True,1204,Transports,1.0,1,1,correct
New road tractors by type of motor energy (until,Transports,Transports,True,1197,Transports,1.0,5,1,correct
"New trailers and their load capacity, by permissible maximum gross weight",Transports,Transports,True,1205,Transports,1.0,2,1,correct
New trailers and their load capacity (until,Transports,Transports,True,1205,Transports,1.0,2,1,correct
New trams,Transports,Transports,True,1206,Transports,1.0,1,1,correct
"Seats /berths in motor coaches, buses and trolley buses",Transports,Transports,True,1687,Transports,1.0,1,1,correct
"Motor coaches, buses and trolley buses, by type of vehicle",Transports,Transports,True,1157,Transports,1.0,1,1,correct
Passenger cars by age,Transports,Transports,True,1308,Transports,1.0,8,1,correct
Passenger cars by alternative motor energy (until,Transports,Transports,True,1308,Transports,1.0,8,1,correct
Passenger cars - per thousand inhabitants,Transports,Transports,True,1310,Transports,1.0,1,1,correct
Motorcycles by engine size,Transports,Transports,True,1158,Transports,1.0,1,1,correct
Road tractors by type of motor energy (until,Transports,Transports,True,1658,Transports,1.0,1,1,correct
"Semi-trailers and their load capacity, by permissible maximum gross weight",Transports,Transports,True,1711,Transports,1.0,2,1,correct
Semi-trailers by load capacity (until,Transports,Transports,True,1711,Transports,1.0,2,1,correct
Special purpose road vehicles,Transports,Transports,True,1796,Transports,1.0,1,1,correct
"Trailers and their load capacity, by permissible maximum gross weight",Transports,Transports,True,1908,Transports,1.0,2,1,correct
Trailers by load capacity (until,Transports,Transports,True,1908,Transports,1.0,2,1,correct
Trams,Transports,Transports,True,249,Transports,1.0,1,1,correct
Passenger cars by unloaded weight,Transports,Transports,True,1308,Transports,1.0,8,1,correct
"Road cabotage transport by country in which cabotage takes place (t, tkm) - (from onwards)",Transports,Transports,True,1652,Transports,1.0,3,1,correct
Road cabotage transport by country in which cabotage takes place (tkm) -,Transports,Transports,True,1652,Transports,1.0,3,1,correct
Road cabotage transport performed by each reporting country (tkm) -,Transports,Transports,True,1652,Transports,1.0,3,1,correct
National road freight transport by region of loading (NUTS 3) and type of goods (t) - annual data (from onwards),Transports,Transports,True,1169,Transports,1.0,3,1,correct
National road freight transport by region of unloading (NUTS 3) and type of goods (t) - annual data (from onwards),Transports,Transports,True,1169,Transports,1.0,3,1,correct
Length of other roads within/outside built-up areas,Transports,Transports,True,1006,Transports,1.0,7,1,correct
Length of paved and unpaved roads,Transports,Transports,True,1006,Transports,1.0,7,1,correct
Length of motorways and e-roads,Transports,Transports,True,1007,Transports,1.0,1,1,correct
National passenger road transport performance by type of vehicles registered in the reporting country,Transports,Transports,True,1169,Transports,1.0,3,1,correct
"Territorialised road freight transport, by transport coverage – annual data",Transports,Transports,True,1860,Transports,1.0,1,1,correct
Buses and coaches traffic performance registered in the reporting country by transport covarage,Transports,Transports,True,179,Transports,1.0,1,1,correct
Business written in non-EEA countries,Money & Markets,Money & Markets,True,184,Money & Markets,1.0,1,1,correct
Number of branches in non-EEA countries,Money & Markets,Money & Markets,True,8,Money & Markets,1.0,1,1,correct
Number of accounts linked to CPA categories,Money & Markets,Money & Markets,True,4,Money & Markets,1.0,1,1,correct
Commissions payable by product,Money & Markets,Money & Markets,True,231,Money & Markets,1.0,2,1,correct
Commissions receivable by product,Money & Markets,Money & Markets,True,231,Money & Markets,1.0,2,1,correct
Interests payable and similar charges by product,Money & Markets,Money & Markets,True,938,Money & Markets,1.0,2,1,correct
Interests receivable and similar income by product,Money & Markets,Money & Markets,True,938,Money & Markets,1.0,2,1,correct
Number of loans and advances to customers linked to CPA categories,Money & Markets,Money & Markets,True,19,Money & Markets,1.0,1,1,correct
"Enterprises in wholesale trade, repair of vehicles and motorcycles (NACE Rev.2, G) - changes in stocks",Money & Markets,Tech & Innovation,False,518,Money & Markets,0.75,12,2,"downstream (LLM domain choice, step 8)"
Autonomous pension funds - number of enterprises by size class of investments,Money & Markets,Money & Markets,True,128,Money & Markets,1.0,3,1,correct
Autonomous pension funds - number of enterprises by size class of members,Money & Markets,Money & Markets,True,128,Money & Markets,1.0,3,1,correct
Autonomous pension funds - total investments by currencies,Money & Markets,Money & Markets,True,128,Money & Markets,1.0,3,1,correct
Non-autonomous pension funds,Money & Markets,Money & Markets,True,1222,Money & Markets,1.0,1,1,correct
Enterprises with members in other EEA countries,Money & Markets,Money & Markets,True,539,Money & Markets,1.0,1,1,correct
Persons at risk of poverty or social exclusion,"People, Work & Living Conditions","People, Work & Living Conditions",True,1361,"People, Work & Living Conditions",0.5333333333333333,30,3,correct
Persons at risk of monetary poverty after social transfers - EU-SILC and ECHP surveys,"People, Work & Living Conditions","People, Work & Living Conditions",True,1361,"People, Work & Living Conditions",0.5333333333333333,30,3,correct
Persons at risk of monetary poverty after social transfers by citizenship,"People, Work & Living Conditions","People, Work & Living Conditions",True,1361,"People, Work & Living Conditions",0.5333333333333333,30,3,correct
Severe material and social deprivation rate by age group and sex,"People, Work & Living Conditions","People, Work & Living Conditions",True,1722,"People, Work & Living Conditions",1.0,14,1,correct
"Persons living in households with very low work intensity, by age group","People, Work & Living Conditions","People, Work & Living Conditions",True,1386,"People, Work & Living Conditions",1.0,4,1,correct
In work at-risk-of-poverty rate,"People, Work & Living Conditions","People, Work & Living Conditions",True,879,"People, Work & Living Conditions",1.0,8,1,correct
Housing cost overburden rate by poverty status,"People, Work & Living Conditions","People, Work & Living Conditions",True,849,"People, Work & Living Conditions",1.0,10,1,correct
Obesity rate by body mass index (BMI),Health & Safety,Health & Safety,True,1239,Health & Safety,1.0,1,1,correct
Agricultural real factor income per annual work unit (AWU),Environment & Natural Resources and Production,Money & Markets,False,66,Environment & Natural Resources and Production,1.0,1,1,"downstream (LLM domain choice, step 8)"
Government support to agricultural research and development,Environment & Natural Resources and Production,Environment & Natural Resources and Production,True,732,Environment & Natural Resources and Production,1.0,1,1,correct
Area under organic farming,Environment & Natural Resources and Production,Environment & Natural Resources and Production,True,109,Environment & Natural Resources and Production,1.0,1,1,correct
Use and risk of chemical pesticides,Environment & Natural Resources and Production,Environment & Natural Resources and Production,True,1963,Environment & Natural Resources and Production,1.0,1,1,correct
Ammonia emissions from agriculture,Environment & Natural Resources and Production,Environment & Natural Resources and Production,True,81,Environment & Natural Resources and Production,1.0,2,1,correct
Healthy life years at birth by sex,Health & Safety,Health & Safety,True,800,Health & Safety,1.0,6,1,correct
Share of people with good or very good perceived health by sex,Health & Safety,"People, Work & Living Conditions",False,1731,"People, Work & Living Conditions",0.6666666666666666,3,2,"upstream (clustering, step 7)"
Smoking prevalence by sex,Health & Safety,Health & Safety,True,1779,Health & Safety,1.0,1,1,correct
"Standardised death rate due to tuberculosis, HIV and hepatitis by type of disease",Health & Safety,Health & Safety,True,1798,Health & Safety,1.0,2,1,correct
Standardised preventable and treatable mortality,Health & Safety,Health & Safety,True,1801,Health & Safety,1.0,1,1,correct
Self-reported unmet need for medical examination and care by sex,Health & Safety,Health & Safety,True,1702,Health & Safety,1.0,6,1,correct
Consumption of antibiotics in the community and hospital sectors – defined daily doses (DDD) per day,Health & Safety,Health & Safety,True,272,Health & Safety,1.0,1,1,correct
Early leavers from education and training by sex,Learning & Education,Learning & Education,True,419,Learning & Education,1.0,5,1,correct
"Early leavers from education and training, by citizenship",Learning & Education,Learning & Education,True,419,Learning & Education,1.0,5,1,correct
Tertiary educational attainment by sex,Learning & Education,Learning & Education,True,1861,Learning & Education,1.0,2,1,correct
"Low achieving 15-year-olds in reading, mathematics or science",Learning & Education,Learning & Education,True,1057,Learning & Education,1.0,2,1,correct
Adult participation in learning in the past four weeks by sex,Learning & Education,Learning & Education,True,57,Learning & Education,1.0,1,1,correct
Physical and sexual violence to women by age group data),Health & Safety,Health & Safety,True,1432,Health & Safety,1.0,1,1,correct
Gender pay gap in unadjusted form,"People, Work & Living Conditions","People, Work & Living Conditions",True,699,"People, Work & Living Conditions",1.0,12,1,correct
"Gender employment gap, by type of employment","People, Work & Living Conditions","People, Work & Living Conditions",True,699,"People, Work & Living Conditions",1.0,12,1,correct
Persons outside the labour force due to caring responsibilities by sex,"People, Work & Living Conditions","People, Work & Living Conditions",True,1392,"People, Work & Living Conditions",1.0,1,1,correct
Seats held by women in national parliaments and governments,"People, Work & Living Conditions","People, Work & Living Conditions",True,1688,"People, Work & Living Conditions",1.0,1,1,correct
Positions held by women in senior management positions,"People, Work & Living Conditions","People, Work & Living Conditions",True,1479,"People, Work & Living Conditions",1.0,1,1,correct
"Population having neither a bath, nor a shower, nor indoor flushing toilet in their household by poverty status","People, Work & Living Conditions","People, Work & Living Conditions",True,1459,"People, Work & Living Conditions",1.0,1,1,correct
Population connected to at least secondary wastewater treatment,Environment & Natural Resources and Production,Environment & Natural Resources and Production,True,1456,Environment & Natural Resources and Production,1.0,4,1,correct
Biochemical oxygen demand in rivers,Environment & Natural Resources and Production,Environment & Natural Resources and Production,True,172,Environment & Natural Resources and Production,1.0,1,1,correct
Nitrate in groundwater,Environment & Natural Resources and Production,Environment & Natural Resources and Production,True,1210,Environment & Natural Resources and Production,1.0,1,1,correct
Phosphate in rivers,Environment & Natural Resources and Production,Environment & Natural Resources and Production,True,1428,Environment & Natural Resources and Production,1.0,1,1,correct
"Water exploitation index, plus (WEI+)",Environment & Natural Resources and Production,Environment & Natural Resources and Production,True,2007,Environment & Natural Resources and Production,1.0,1,1,correct
Primary energy consumption,Environment & Natural Resources and Production,Environment & Natural Resources and Production,True,1505,Environment & Natural Resources and Production,1.0,2,1,correct
Final energy consumption,Environment & Natural Resources and Production,Environment & Natural Resources and Production,True,624,Environment & Natural Resources and Production,1.0,4,1,correct
Final energy consumption in households per capita,Environment & Natural Resources and Production,Environment & Natural Resources and Production,True,624,Environment & Natural Resources and Production,1.0,4,1,correct
Share of renewable energy in gross final energy consumption by sector,Environment & Natural Resources and Production,Environment & Natural Resources and Production,True,1761,Environment & Natural Resources and Production,1.0,1,1,correct
Energy import dependency by products,Environment & Natural Resources and Production,Environment & Natural Resources and Production,True,509,Environment & Natural Resources and Production,1.0,1,1,correct
Population unable to keep home adequately warm by poverty status,"People, Work & Living Conditions","People, Work & Living Conditions",True,1469,"People, Work & Living Conditions",1.0,1,1,correct
Real GDP per capita,Money & Markets,Money & Markets,True,1596,Money & Markets,1.0,2,1,correct
Investment share of GDP by institutional sectors,Money & Markets,Money & Markets,True,960,Money & Markets,1.0,2,1,correct
Young people neither in employment nor in education and training by sex (NEET),"People, Work & Living Conditions","People, Work & Living Conditions",True,2025,"People, Work & Living Conditions",0.6,5,2,correct
"Young people neither in employment nor in education and training (NEET), by citizenship","People, Work & Living Conditions","People, Work & Living Conditions",True,2025,"People, Work & Living Conditions",0.6,5,2,correct
Employment rate by sex,"People, Work & Living Conditions","People, Work & Living Conditions",True,473,"People, Work & Living Conditions",0.8333333333333334,12,3,correct
"Employment rate, by citizenship","People, Work & Living Conditions","People, Work & Living Conditions",True,473,"People, Work & Living Conditions",0.8333333333333334,12,3,correct
Long-term unemployment rate by sex,"People, Work & Living Conditions","People, Work & Living Conditions",True,1049,"People, Work & Living Conditions",1.0,3,1,correct
"Fatal accidents at work per 100 000 workers, by sex","People, Work & Living Conditions",Health & Safety,False,610,"People, Work & Living Conditions",1.0,1,1,"downstream (LLM domain choice, step 8)"
Patent applications to the European Patent Office by applicants' / inventors' country of residence,Tech & Innovation,Tech & Innovation,True,1319,Tech & Innovation,1.0,1,1,correct
Share of buses and trains in inland passenger transport,Transports,Transports,True,1736,Transports,1.0,1,1,correct
Share of rail and inland waterways in inland freight transport,Transports,Transports,True,1760,Transports,1.0,1,1,correct
Air emission intensity from industry,Environment & Natural Resources and Production,Environment & Natural Resources and Production,True,69,Environment & Natural Resources and Production,1.0,1,1,correct
Purchasing power adjusted GDP per capita,Money & Markets,Money & Markets,True,1571,Money & Markets,1.0,1,1,correct
Adjusted gross disposable income of households per capita,"People, Work & Living Conditions","People, Work & Living Conditions",True,55,"People, Work & Living Conditions",0.5,2,2,correct
Relative median at-risk-of-poverty gap,"People, Work & Living Conditions","People, Work & Living Conditions",True,1621,"People, Work & Living Conditions",1.0,6,1,correct
Income distribution,"People, Work & Living Conditions","People, Work & Living Conditions",True,890,"People, Work & Living Conditions",1.0,1,1,correct
Income share of the bottom 40 % of the population,"People, Work & Living Conditions","People, Work & Living Conditions",True,896,"People, Work & Living Conditions",1.0,1,1,correct
Asylum applications by state of procedure,"People, Work & Living Conditions","People, Work & Living Conditions",True,120,"People, Work & Living Conditions",1.0,7,1,correct
Severe housing deprivation rate by poverty status,"People, Work & Living Conditions","People, Work & Living Conditions",True,1722,"People, Work & Living Conditions",1.0,14,1,correct
"Population living in households considering that they suffer from noise, by poverty status","People, Work & Living Conditions","People, Work & Living Conditions",True,1463,"People, Work & Living Conditions",1.0,1,1,correct
Settlement area per capita,Environment & Natural Resources and Production,"People, Work & Living Conditions",False,1721,Environment & Natural Resources and Production,1.0,2,1,"downstream (LLM domain choice, step 8)"
Soil sealing index,Environment & Natural Resources and Production,Environment & Natural Resources and Production,True,1789,Environment & Natural Resources and Production,1.0,1,1,correct
Premature deaths due to exposure to fine particulate matter (PM2.5),Health & Safety,Health & Safety,True,1494,Health & Safety,1.0,1,1,correct
Consumption of chemicals by hazardousness - EU aggregate,Environment & Natural Resources and Production,Environment & Natural Resources and Production,True,273,Environment & Natural Resources and Production,1.0,1,1,correct
Raw material consumption (RMC),Environment & Natural Resources and Production,Environment & Natural Resources and Production,True,1594,Environment & Natural Resources and Production,1.0,1,1,correct
Consumption footprint – single weighted score,Environment & Natural Resources and Production,Environment & Natural Resources and Production,True,270,Environment & Natural Resources and Production,1.0,1,1,correct
Generation of waste by hazardousness,Environment & Natural Resources and Production,Environment & Natural Resources and Production,True,715,Environment & Natural Resources and Production,1.0,7,1,correct
Gross value added in environmental goods and services sector,Environment & Natural Resources and Production,Money & Markets,False,763,Money & Markets,0.9310344827586207,29,2,"upstream (clustering, step 7)"
"Average CO2 emissions per km from new passenger cars (source: EEA, DG CLIMA) - HIDDEN DAT",Environment & Natural Resources and Production,Environment & Natural Resources and Production,True,133,Environment & Natural Resources and Production,1.0,1,1,correct
Climate related economic losses – values at constant prices,Environment & Natural Resources and Production,Environment & Natural Resources and Production,True,223,Environment & Natural Resources and Production,1.0,1,1,correct
Contribution to the international 100bn USD commitment on climate related expending,Environment & Natural Resources and Production,Money & Markets,False,283,Environment & Natural Resources and Production,1.0,1,1,"downstream (LLM domain choice, step 8)"
Population covered by the Covenant of Mayors for Climate & Energy signatories,Environment & Natural Resources and Production,Environment & Natural Resources and Production,True,1457,Environment & Natural Resources and Production,1.0,1,1,correct
Green bond issuance by type of issuer,Environment & Natural Resources and Production,Money & Markets,False,743,Environment & Natural Resources and Production,1.0,2,1,"downstream (LLM domain choice, step 8)"
Green bond issuance by corporates and governments,Environment & Natural Resources and Production,Money & Markets,False,743,Environment & Natural Resources and Production,1.0,2,1,"downstream (LLM domain choice, step 8)"
Surface of the marine protected areas,Environment & Natural Resources and Production,Environment & Natural Resources and Production,True,1834,Environment & Natural Resources and Production,1.0,2,1,correct
"Estimated trends in fish stock biomass, by fishing areas",Environment & Natural Resources and Production,Environment & Natural Resources and Production,True,555,Environment & Natural Resources and Production,1.0,2,1,correct
"Estimated trends in fishing pressure, by fishing area",Environment & Natural Resources and Production,Environment & Natural Resources and Production,True,555,Environment & Natural Resources and Production,1.0,2,1,correct
Bathing sites with excellent water quality by location,Environment & Natural Resources and Production,Environment & Natural Resources and Production,True,165,Environment & Natural Resources and Production,1.0,1,1,correct
Global mean surface seawater acidity,Environment & Natural Resources and Production,Environment & Natural Resources and Production,True,717,Environment & Natural Resources and Production,1.0,1,1,correct
Marine waters affected by eutrophication,Environment & Natural Resources and Production,Environment & Natural Resources and Production,True,1086,Environment & Natural Resources and Production,1.0,1,1,correct
Share of forest area,Environment & Natural Resources and Production,Environment & Natural Resources and Production,True,1747,Environment & Natural Resources and Production,1.0,1,1,correct
Surface of the terrestrial protected areas,Environment & Natural Resources and Production,Environment & Natural Resources and Production,True,1834,Environment & Natural Resources and Production,1.0,2,1,correct
Drought impact area on ecosystems,Environment & Natural Resources and Production,Environment & Natural Resources and Production,True,392,Environment & Natural Resources and Production,1.0,1,1,correct
Area at risk of severe soil erosion by water,Environment & Natural Resources and Production,Environment & Natural Resources and Production,True,103,Environment & Natural Resources and Production,1.0,1,1,correct
Common bird index by type of species - EU aggregate,Environment & Natural Resources and Production,Environment & Natural Resources and Production,True,233,Environment & Natural Resources and Production,1.0,2,1,correct
Grassland butterfly index - EU aggregate,Environment & Natural Resources and Production,Environment & Natural Resources and Production,True,741,Environment & Natural Resources and Production,1.0,1,1,correct
Standardised death rate due to homicide by sex,Health & Safety,Health & Safety,True,1798,Health & Safety,1.0,2,1,correct
"Population reporting occurrence of crime, violence or vandalism in their area by poverty status",Health & Safety,Health & Safety,True,1467,Health & Safety,1.0,1,1,correct
General government total expenditure on law courts,Health & Safety,Money & Markets,False,708,Health & Safety,1.0,1,1,"downstream (LLM domain choice, step 8)"
Perceived independence of the justice system,Health & Safety,Living Well,False,1334,Health & Safety,1.0,1,1,"downstream (LLM domain choice, step 8)"
Corruption Perceptions Index,Money & Markets,"People, Work & Living Conditions",False,292,Money & Markets,1.0,1,1,"downstream (LLM domain choice, step 8)"
Population with confidence in EU institutions by institution,"People, Work & Living Conditions","People, Work & Living Conditions",True,1473,"People, Work & Living Conditions",1.0,1,1,correct
Victims of trafficking in human beings by sex,Health & Safety,Health & Safety,True,1992,Health & Safety,1.0,3,1,correct
